mol_id,n_atoms,real_bonds,qtaim_bonds,elf_bonds,qtaim_real,qtaim_nonbond,qtaim_missing,elf_coverage,qtaim_coverage
dsgdb9nsd_109991,18,18,14,18,6,8,12,100%,33%
dsgdb9nsd_077375,23,25,13,25,6,7,19,100%,24%
dsgdb9nsd_082868,21,23,16,23,7,9,16,100%,30%
dsgdb9nsd_103685,21,21,14,21,8,6,13,100%,38%
dsgdb9nsd_012816,20,21,11,21,5,6,16,100%,24%
dsgdb9nsd_049996,17,19,15,19,8,7,11,100%,42%
dsgdb9nsd_123646,15,17,14,17,8,6,9,100%,47%
dsgdb9nsd_087037,15,13,10,12,5,5,8,92%,38%
dsgdb9nsd_068155,15,16,11,16,4,7,12,100%,25%
dsgdb9nsd_102468,22,21,16,21,8,8,13,100%,38%
dsgdb9nsd_046683,17,19,14,19,6,8,13,100%,32%
dsgdb9nsd_084813,20,20,13,20,5,8,15,100%,25%
dsgdb9nsd_066136,18,19,13,19,7,6,12,100%,37%
dsgdb9nsd_121403,21,21,12,21,7,5,14,100%,33%
dsgdb9nsd_101482,21,21,14,21,8,6,13,100%,38%
dsgdb9nsd_079785,20,23,13,23,6,7,17,100%,26%
dsgdb9nsd_052002,16,15,11,15,6,5,9,100%,40%
dsgdb9nsd_075869,15,15,13,15,8,5,7,100%,53%
dsgdb9nsd_002723,21,20,10,20,6,4,14,100%,30%
dsgdb9nsd_005516,17,17,13,17,7,6,10,100%,41%
dsgdb9nsd_048445,18,19,15,19,8,7,11,100%,42%
dsgdb9nsd_128884,9,9,7,7,4,3,5,78%,44%
dsgdb9nsd_041938,21,22,15,22,5,10,17,100%,23%
dsgdb9nsd_059526,25,26,12,26,5,7,21,100%,19%
dsgdb9nsd_129172,13,14,12,14,8,4,6,100%,57%
dsgdb9nsd_014813,12,12,8,12,3,5,9,100%,25%
dsgdb9nsd_064424,21,22,14,22,8,6,14,100%,36%
dsgdb9nsd_045994,16,17,12,17,6,6,11,100%,35%
dsgdb9nsd_067620,20,23,16,23,7,9,16,100%,30%
dsgdb9nsd_120994,21,22,13,22,5,8,17,100%,23%
dsgdb9nsd_062053,20,20,12,20,6,6,14,100%,30%
dsgdb9nsd_041015,17,20,13,20,4,9,16,100%,20%
dsgdb9nsd_128525,16,16,11,16,9,2,7,100%,56%
dsgdb9nsd_063260,23,23,10,23,5,5,18,100%,22%
dsgdb9nsd_087909,19,20,14,20,6,8,14,100%,30%
dsgdb9nsd_114269,19,21,13,21,7,6,14,100%,33%
dsgdb9nsd_041557,17,20,14,20,4,10,16,100%,20%
dsgdb9nsd_046546,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_056982,18,19,13,19,5,8,14,100%,26%
dsgdb9nsd_093381,19,20,13,20,5,8,15,100%,25%
dsgdb9nsd_106741,18,19,12,19,8,4,11,100%,42%
dsgdb9nsd_091511,21,22,11,22,5,6,17,100%,23%
dsgdb9nsd_050363,17,18,14,17,4,10,14,94%,22%
dsgdb9nsd_006407,18,17,13,17,7,6,10,100%,41%
dsgdb9nsd_041680,19,21,15,21,5,10,16,100%,24%
dsgdb9nsd_095785,20,20,15,20,6,9,14,100%,30%
dsgdb9nsd_099372,19,18,12,18,8,4,10,100%,44%
dsgdb9nsd_008476,14,15,8,15,4,4,11,100%,27%
dsgdb9nsd_022791,16,16,12,15,6,6,10,94%,38%
dsgdb9nsd_008973,10,9,6,8,4,2,5,89%,44%
dsgdb9nsd_029449,17,18,14,18,10,4,8,100%,56%
dsgdb9nsd_008420,19,20,13,19,7,6,13,95%,35%
dsgdb9nsd_090328,21,23,14,23,5,9,18,100%,22%
dsgdb9nsd_046910,19,20,15,20,8,7,12,100%,40%
dsgdb9nsd_010836,17,17,11,17,6,5,11,100%,35%
dsgdb9nsd_078693,21,24,11,24,4,7,20,100%,17%
dsgdb9nsd_023057,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_124084,14,15,9,15,4,5,11,100%,27%
dsgdb9nsd_090051,18,20,14,20,5,9,15,100%,25%
dsgdb9nsd_015838,21,21,11,21,6,5,15,100%,29%
dsgdb9nsd_045988,15,15,11,15,5,6,10,100%,33%
dsgdb9nsd_052364,15,14,9,13,3,6,11,93%,21%
dsgdb9nsd_003559,13,15,9,15,3,6,12,100%,20%
dsgdb9nsd_075717,19,20,11,20,4,7,16,100%,20%
dsgdb9nsd_110575,20,22,13,22,6,7,16,100%,27%
dsgdb9nsd_065668,19,20,12,20,6,6,14,100%,30%
dsgdb9nsd_083327,20,21,13,20,6,7,15,95%,29%
dsgdb9nsd_055399,17,17,15,17,9,6,8,100%,53%
dsgdb9nsd_095700,20,20,13,20,8,5,12,100%,40%
dsgdb9nsd_104192,21,21,13,21,8,5,13,100%,38%
dsgdb9nsd_023470,18,19,14,19,8,6,11,100%,42%
dsgdb9nsd_057339,23,22,13,22,5,8,17,100%,23%
dsgdb9nsd_077954,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_125511,16,16,10,16,5,5,11,100%,31%
dsgdb9nsd_063300,18,18,11,18,4,7,14,100%,22%
dsgdb9nsd_040941,19,20,12,20,4,8,16,100%,20%
dsgdb9nsd_129430,14,14,11,14,6,5,8,100%,43%
dsgdb9nsd_042725,16,18,13,17,4,9,14,94%,22%
dsgdb9nsd_073217,20,21,13,21,8,5,13,100%,38%
dsgdb9nsd_122600,19,19,12,19,7,5,12,100%,37%
dsgdb9nsd_019264,17,18,12,18,6,6,12,100%,33%
dsgdb9nsd_060185,21,21,12,21,7,5,14,100%,33%
dsgdb9nsd_071790,19,22,15,21,7,8,15,95%,32%
dsgdb9nsd_040634,20,22,13,22,5,8,17,100%,23%
dsgdb9nsd_107277,17,19,12,19,6,6,13,100%,32%
dsgdb9nsd_047595,17,18,13,18,4,9,14,100%,22%
dsgdb9nsd_096004,21,22,15,22,8,7,14,100%,36%
dsgdb9nsd_102450,16,15,12,14,5,7,10,93%,33%
dsgdb9nsd_061373,16,15,11,14,6,5,9,93%,40%
dsgdb9nsd_014036,18,19,13,19,6,7,13,100%,32%
dsgdb9nsd_007192,26,25,15,24,6,9,19,96%,24%
dsgdb9nsd_114810,23,24,15,24,8,7,16,100%,33%
dsgdb9nsd_044218,13,14,12,14,5,7,9,100%,36%
dsgdb9nsd_116280,19,19,13,19,7,6,12,100%,37%
dsgdb9nsd_040361,20,22,14,22,6,8,16,100%,27%
dsgdb9nsd_051721,16,16,12,16,7,5,9,100%,44%
dsgdb9nsd_111328,21,23,13,23,6,7,17,100%,26%
dsgdb9nsd_104371,20,20,14,20,8,6,12,100%,40%
dsgdb9nsd_006834,20,20,10,20,4,6,16,100%,20%
dsgdb9nsd_010953,18,19,12,19,6,6,13,100%,32%
dsgdb9nsd_079847,20,22,13,22,6,7,16,100%,27%
dsgdb9nsd_018677,16,17,10,17,3,7,14,100%,18%
dsgdb9nsd_060102,23,24,14,24,7,7,17,100%,29%
dsgdb9nsd_004664,13,13,9,13,5,4,8,100%,38%
dsgdb9nsd_074448,21,22,14,22,8,6,14,100%,36%
dsgdb9nsd_068792,19,20,11,20,6,5,14,100%,30%
dsgdb9nsd_089420,20,21,17,21,8,9,13,100%,38%
dsgdb9nsd_113795,22,23,15,23,8,7,15,100%,35%
dsgdb9nsd_077134,18,18,11,18,5,6,13,100%,28%
dsgdb9nsd_059495,20,20,14,20,6,8,14,100%,30%
dsgdb9nsd_024589,16,17,14,17,9,5,8,100%,53%
dsgdb9nsd_080935,18,20,12,20,7,5,13,100%,35%
dsgdb9nsd_085646,17,17,13,17,6,7,11,100%,35%
dsgdb9nsd_045088,18,20,14,20,5,9,15,100%,25%
dsgdb9nsd_007259,16,15,11,15,8,3,7,100%,53%
dsgdb9nsd_057726,21,20,13,20,8,5,12,100%,40%
dsgdb9nsd_068268,17,18,9,16,4,5,14,89%,22%
dsgdb9nsd_089893,20,22,14,22,7,7,15,100%,32%
dsgdb9nsd_124874,17,18,14,18,9,5,9,100%,50%
dsgdb9nsd_045374,19,20,13,19,9,4,11,95%,45%
dsgdb9nsd_078045,20,21,13,21,7,6,14,100%,33%
dsgdb9nsd_090345,19,20,15,20,7,8,13,100%,35%
dsgdb9nsd_131242,12,13,12,13,10,2,3,100%,77%
dsgdb9nsd_044837,15,16,12,16,4,8,12,100%,25%
dsgdb9nsd_004199,13,14,10,14,5,5,9,100%,36%
dsgdb9nsd_073007,20,22,13,22,7,6,15,100%,32%
dsgdb9nsd_065081,22,24,13,24,7,6,17,100%,29%
dsgdb9nsd_076780,19,20,13,20,8,5,12,100%,40%
dsgdb9nsd_071149,17,19,13,19,6,7,13,100%,32%
dsgdb9nsd_098553,17,18,11,18,6,5,12,100%,33%
dsgdb9nsd_096556,23,23,16,23,6,10,17,100%,26%
dsgdb9nsd_018237,16,17,11,17,6,5,11,100%,35%
dsgdb9nsd_100531,23,22,14,22,6,8,16,100%,27%
dsgdb9nsd_118025,19,18,13,18,5,8,13,100%,28%
dsgdb9nsd_077706,19,21,11,21,4,7,17,100%,19%
dsgdb9nsd_045196,19,21,12,21,5,7,16,100%,24%
dsgdb9nsd_025013,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_105070,22,23,14,23,7,7,16,100%,30%
dsgdb9nsd_067476,19,21,14,21,6,8,15,100%,29%
dsgdb9nsd_129525,13,13,13,13,12,1,1,100%,92%
dsgdb9nsd_066949,18,21,14,21,7,7,14,100%,33%
dsgdb9nsd_088538,21,23,11,23,4,7,19,100%,17%
dsgdb9nsd_107759,22,24,14,24,6,8,18,100%,25%
dsgdb9nsd_126809,17,17,12,17,5,7,12,100%,29%
dsgdb9nsd_028347,16,16,12,16,8,4,8,100%,50%
dsgdb9nsd_012940,17,18,9,18,4,5,14,100%,22%
dsgdb9nsd_126835,18,18,10,18,5,5,13,100%,28%
dsgdb9nsd_118634,18,17,14,17,9,5,8,100%,53%
dsgdb9nsd_015614,13,13,9,13,7,2,6,100%,54%
dsgdb9nsd_119244,22,22,15,22,7,8,15,100%,32%
dsgdb9nsd_102776,21,20,12,20,5,7,15,100%,25%
dsgdb9nsd_061680,19,19,13,19,6,7,13,100%,32%
dsgdb9nsd_003464,15,16,11,16,4,7,12,100%,25%
dsgdb9nsd_042901,15,17,11,17,4,7,13,100%,24%
dsgdb9nsd_041138,18,20,15,20,6,9,14,100%,30%
dsgdb9nsd_086439,19,19,16,19,7,9,12,100%,37%
dsgdb9nsd_051610,15,15,11,15,8,3,7,100%,53%
dsgdb9nsd_126032,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_100126,22,21,13,21,10,3,11,100%,48%
dsgdb9nsd_112102,19,19,15,18,10,5,9,95%,53%
dsgdb9nsd_115926,21,22,14,22,5,9,17,100%,23%
dsgdb9nsd_020119,16,17,9,17,7,2,10,100%,41%
dsgdb9nsd_099284,20,19,13,18,9,4,10,95%,47%
dsgdb9nsd_093972,20,20,13,20,7,6,13,100%,35%
dsgdb9nsd_050542,18,18,13,18,6,7,12,100%,33%
dsgdb9nsd_022860,14,14,11,14,7,4,7,100%,50%
dsgdb9nsd_049635,18,20,15,20,8,7,12,100%,40%
dsgdb9nsd_019595,17,19,14,19,7,7,12,100%,37%
dsgdb9nsd_009825,19,19,13,19,7,6,12,100%,37%
dsgdb9nsd_012903,15,16,11,16,6,5,10,100%,38%
dsgdb9nsd_022734,19,20,14,20,9,5,11,100%,45%
dsgdb9nsd_071866,18,20,13,20,7,6,13,100%,35%
dsgdb9nsd_009507,18,18,11,18,6,5,12,100%,33%
dsgdb9nsd_120077,20,22,14,22,7,7,15,100%,32%
dsgdb9nsd_006228,20,20,11,20,5,6,15,100%,25%
dsgdb9nsd_127943,15,15,12,15,10,2,5,100%,67%
dsgdb9nsd_083788,21,23,17,23,6,11,17,100%,26%
dsgdb9nsd_130635,13,13,8,13,3,5,10,100%,23%
dsgdb9nsd_046218,15,17,12,17,5,7,12,100%,29%
dsgdb9nsd_077334,16,16,13,15,8,5,8,94%,50%
dsgdb9nsd_063621,17,17,11,17,5,6,12,100%,29%
dsgdb9nsd_079759,20,23,16,23,6,10,17,100%,26%
dsgdb9nsd_045657,16,17,13,17,7,6,10,100%,41%
dsgdb9nsd_013904,19,19,10,19,5,5,14,100%,26%
dsgdb9nsd_072517,19,20,12,20,6,6,14,100%,30%
dsgdb9nsd_044848,15,17,14,17,6,8,11,100%,35%
dsgdb9nsd_010133,16,15,8,15,6,2,9,100%,40%
dsgdb9nsd_020604,15,15,10,15,6,4,9,100%,40%
dsgdb9nsd_028405,13,13,10,13,6,4,7,100%,46%
dsgdb9nsd_021590,12,12,10,12,6,4,6,100%,50%
dsgdb9nsd_003371,17,18,12,18,4,8,14,100%,22%
dsgdb9nsd_071163,17,20,11,20,5,6,15,100%,25%
dsgdb9nsd_130687,16,17,11,17,8,3,9,100%,47%
dsgdb9nsd_098999,18,17,14,17,8,6,9,100%,47%
dsgdb9nsd_110274,20,21,16,21,6,10,15,100%,29%
dsgdb9nsd_128655,17,17,11,17,8,3,9,100%,47%
dsgdb9nsd_072121,21,23,14,20,5,9,18,78%,22%
dsgdb9nsd_085160,18,18,12,18,4,8,14,100%,22%
dsgdb9nsd_123493,16,17,11,17,7,4,10,100%,41%
dsgdb9nsd_018034,18,19,13,19,5,8,14,100%,26%
dsgdb9nsd_004936,16,16,12,16,7,5,9,100%,44%
dsgdb9nsd_083302,18,19,12,19,6,6,13,100%,32%
dsgdb9nsd_043451,15,16,11,16,5,6,11,100%,31%
dsgdb9nsd_088303,17,17,10,16,4,6,13,94%,24%
dsgdb9nsd_015447,13,13,10,12,4,6,9,92%,31%
dsgdb9nsd_111947,20,20,13,20,6,7,14,100%,30%
dsgdb9nsd_056177,19,19,13,19,10,3,9,100%,53%
dsgdb9nsd_111569,17,19,11,19,5,6,14,100%,26%
dsgdb9nsd_006606,18,19,9,19,5,4,14,100%,26%
dsgdb9nsd_068218,20,22,12,22,6,6,16,100%,27%
dsgdb9nsd_026358,19,19,14,19,11,3,8,100%,58%
dsgdb9nsd_040675,20,22,12,22,6,6,16,100%,27%
dsgdb9nsd_127754,14,14,10,14,8,2,6,100%,57%
dsgdb9nsd_058722,20,23,13,23,6,7,17,100%,26%
dsgdb9nsd_021956,15,15,12,15,7,5,8,100%,47%
dsgdb9nsd_101418,20,20,14,20,7,7,13,100%,35%
dsgdb9nsd_119096,21,21,13,21,9,4,12,100%,43%
dsgdb9nsd_005615,18,18,13,18,8,5,10,100%,44%
dsgdb9nsd_042009,21,22,14,22,5,9,17,100%,23%
dsgdb9nsd_106829,21,22,12,22,6,6,16,100%,27%
dsgdb9nsd_086281,20,20,11,20,7,4,13,100%,35%
dsgdb9nsd_100610,17,16,16,16,10,6,6,100%,62%
dsgdb9nsd_078488,19,21,18,21,9,9,12,100%,43%
dsgdb9nsd_053840,17,17,14,17,7,7,10,100%,41%
dsgdb9nsd_125781,14,14,11,13,8,3,6,93%,57%
dsgdb9nsd_058209,20,19,15,18,7,8,12,95%,37%
dsgdb9nsd_040616,17,20,13,20,6,7,14,100%,30%
dsgdb9nsd_059956,25,24,13,24,5,8,19,100%,21%
dsgdb9nsd_127635,18,18,11,18,5,6,13,100%,28%
dsgdb9nsd_076333,25,25,14,25,6,8,19,100%,24%
dsgdb9nsd_102249,19,18,11,18,6,5,12,100%,33%
dsgdb9nsd_019635,12,15,12,15,5,7,10,100%,33%
dsgdb9nsd_046076,18,19,13,18,8,5,11,95%,42%
dsgdb9nsd_070531,18,19,13,18,8,5,11,95%,42%
dsgdb9nsd_126223,18,18,12,17,8,4,10,94%,44%
dsgdb9nsd_020435,14,15,8,15,3,5,12,100%,20%
dsgdb9nsd_055987,17,17,14,17,7,7,10,100%,41%
dsgdb9nsd_049094,16,18,14,18,7,7,11,100%,39%
dsgdb9nsd_111135,23,24,16,24,7,9,17,100%,29%
dsgdb9nsd_062154,19,18,12,18,6,6,12,100%,33%
dsgdb9nsd_067923,15,16,12,16,6,6,10,100%,38%
dsgdb9nsd_028759,14,14,14,14,11,3,3,100%,79%
dsgdb9nsd_043448,15,16,11,16,7,4,9,100%,44%
dsgdb9nsd_019862,18,20,13,20,6,7,14,100%,30%
dsgdb9nsd_024022,14,15,10,15,4,6,11,100%,27%
dsgdb9nsd_118116,27,27,16,26,6,10,21,96%,22%
dsgdb9nsd_040073,19,21,14,21,7,7,14,100%,33%
dsgdb9nsd_058277,22,21,15,21,7,8,14,100%,33%
dsgdb9nsd_091970,18,20,14,20,7,7,13,100%,35%
dsgdb9nsd_090040,19,19,13,19,6,7,13,100%,32%
dsgdb9nsd_045740,15,16,13,16,9,4,7,100%,56%
dsgdb9nsd_130475,13,14,12,14,6,6,8,100%,43%
dsgdb9nsd_107539,20,21,12,21,6,6,15,100%,29%
dsgdb9nsd_042875,15,16,10,16,3,7,13,100%,19%
dsgdb9nsd_045975,14,15,10,15,5,5,10,100%,33%
dsgdb9nsd_090630,20,21,13,21,7,6,14,100%,33%
dsgdb9nsd_088033,18,19,14,19,7,7,12,100%,37%
dsgdb9nsd_123695,13,15,12,15,6,6,9,100%,40%
dsgdb9nsd_110881,22,23,16,23,7,9,16,100%,30%
dsgdb9nsd_119760,18,18,12,18,8,4,10,100%,44%
dsgdb9nsd_022284,20,20,14,20,8,6,12,100%,40%
dsgdb9nsd_116093,21,21,13,21,6,7,15,100%,29%
dsgdb9nsd_067543,16,18,13,18,6,7,12,100%,33%
dsgdb9nsd_025009,13,14,11,14,7,4,7,100%,50%
dsgdb9nsd_040968,21,22,13,22,7,6,15,100%,32%
dsgdb9nsd_024780,14,15,12,15,9,3,6,100%,60%
dsgdb9nsd_090407,21,22,13,22,6,7,16,100%,27%
dsgdb9nsd_041476,19,21,14,21,8,6,13,100%,38%
dsgdb9nsd_108357,17,19,13,19,5,8,14,100%,26%
dsgdb9nsd_029300,16,17,13,17,8,5,9,100%,47%
dsgdb9nsd_100276,20,19,14,19,7,7,12,100%,37%
dsgdb9nsd_101609,25,24,16,23,8,8,16,96%,33%
dsgdb9nsd_019289,20,21,13,21,6,7,15,100%,29%
dsgdb9nsd_082968,17,19,14,19,7,7,12,100%,37%
dsgdb9nsd_047313,16,16,11,16,6,5,10,100%,38%
dsgdb9nsd_125381,19,19,12,19,5,7,14,100%,26%
dsgdb9nsd_068149,19,20,12,20,7,5,13,100%,35%
dsgdb9nsd_052232,16,16,14,16,9,5,7,100%,56%
dsgdb9nsd_016892,18,19,12,19,6,6,13,100%,32%
dsgdb9nsd_116347,20,21,15,21,7,8,14,100%,33%
dsgdb9nsd_042444,16,16,13,15,8,5,8,94%,50%
dsgdb9nsd_052422,21,21,13,21,8,5,13,100%,38%
dsgdb9nsd_046197,18,20,13,20,6,7,14,100%,30%
dsgdb9nsd_013612,17,17,9,16,7,2,10,94%,41%
dsgdb9nsd_003621,14,17,11,17,4,7,13,100%,24%
dsgdb9nsd_130742,15,16,10,16,7,3,9,100%,44%
dsgdb9nsd_015236,16,16,10,16,6,4,10,100%,38%
dsgdb9nsd_012721,16,17,11,17,6,5,11,100%,35%
dsgdb9nsd_075200,21,22,13,21,6,7,16,95%,27%
dsgdb9nsd_075705,15,16,11,16,6,5,10,100%,38%
dsgdb9nsd_129021,13,14,11,13,5,6,9,93%,36%
dsgdb9nsd_040931,19,21,13,21,5,8,16,100%,24%
dsgdb9nsd_020570,14,14,10,14,6,4,8,100%,43%
dsgdb9nsd_051632,19,20,15,20,6,9,14,100%,30%
dsgdb9nsd_078280,18,20,13,20,8,5,12,100%,40%
dsgdb9nsd_040504,18,21,15,21,7,8,14,100%,33%
dsgdb9nsd_021861,12,12,12,12,8,4,4,100%,67%
dsgdb9nsd_060145,21,22,13,21,5,8,17,95%,23%
dsgdb9nsd_015314,13,13,9,12,6,3,7,92%,46%
dsgdb9nsd_040723,20,22,16,22,7,9,15,100%,32%
dsgdb9nsd_040263,18,19,12,18,9,3,10,95%,47%
dsgdb9nsd_089718,23,24,12,23,7,5,17,96%,29%
dsgdb9nsd_095571,17,17,13,17,8,5,9,100%,47%
dsgdb9nsd_090479,23,25,15,25,5,10,20,100%,20%
dsgdb9nsd_103925,24,25,14,25,8,6,17,100%,32%
dsgdb9nsd_107739,19,21,12,21,4,8,17,100%,19%
dsgdb9nsd_114152,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_082308,24,25,15,25,6,9,19,100%,24%
dsgdb9nsd_067093,18,21,15,21,6,9,15,100%,29%
dsgdb9nsd_002733,11,11,9,11,5,4,6,100%,45%
dsgdb9nsd_043352,17,18,13,18,5,8,13,100%,28%
dsgdb9nsd_101554,19,18,11,17,5,6,13,94%,28%
dsgdb9nsd_041845,19,21,16,21,5,11,16,100%,24%
dsgdb9nsd_082930,20,22,15,22,7,8,15,100%,32%
dsgdb9nsd_007843,17,17,10,17,5,5,12,100%,29%
dsgdb9nsd_040490,15,18,11,18,5,6,13,100%,28%
dsgdb9nsd_020001,18,19,10,19,4,6,15,100%,21%
dsgdb9nsd_096419,18,18,13,18,7,6,11,100%,39%
dsgdb9nsd_067545,15,17,13,17,7,6,10,100%,41%
dsgdb9nsd_002799,19,19,11,19,6,5,13,100%,32%
dsgdb9nsd_044318,14,17,12,17,6,6,11,100%,35%
dsgdb9nsd_024231,17,19,16,19,9,7,10,100%,47%
dsgdb9nsd_016847,15,16,12,16,5,7,11,100%,31%
dsgdb9nsd_095815,23,23,14,23,5,9,18,100%,22%
dsgdb9nsd_092223,21,23,16,22,4,12,19,96%,17%
dsgdb9nsd_027239,15,16,13,16,9,4,7,100%,56%
dsgdb9nsd_102777,20,19,14,19,6,8,13,100%,32%
dsgdb9nsd_007520,17,17,11,17,5,6,12,100%,29%
dsgdb9nsd_090297,20,21,13,21,6,7,15,100%,29%
dsgdb9nsd_065733,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_042343,19,20,14,20,8,6,12,100%,40%
dsgdb9nsd_071597,20,22,11,22,4,7,18,100%,18%
dsgdb9nsd_016140,18,19,11,19,5,6,14,100%,26%
dsgdb9nsd_079435,19,21,14,21,5,9,16,100%,24%
dsgdb9nsd_044609,18,20,16,20,8,8,12,100%,40%
dsgdb9nsd_042841,16,18,16,18,5,11,13,100%,28%
dsgdb9nsd_003392,15,16,8,16,3,5,13,100%,19%
dsgdb9nsd_016613,16,17,11,17,5,6,12,100%,29%
dsgdb9nsd_021520,12,12,9,12,5,4,7,100%,42%
dsgdb9nsd_047858,19,19,14,19,10,4,9,100%,53%
dsgdb9nsd_026384,20,20,13,20,7,6,13,100%,35%
dsgdb9nsd_079544,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_029423,15,15,14,15,10,4,5,100%,67%
dsgdb9nsd_101834,27,27,16,27,6,10,21,100%,22%
dsgdb9nsd_084468,16,17,12,17,5,7,12,100%,29%
dsgdb9nsd_123514,12,13,11,13,8,3,5,100%,62%
dsgdb9nsd_009420,24,23,14,23,8,6,15,100%,35%
dsgdb9nsd_119037,25,25,14,25,6,8,19,100%,24%
dsgdb9nsd_043336,17,19,14,19,5,9,14,100%,26%
dsgdb9nsd_080067,18,20,16,20,7,9,13,100%,35%
dsgdb9nsd_076552,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_012099,19,20,13,20,7,6,13,100%,35%
dsgdb9nsd_002391,15,16,9,16,5,4,11,100%,31%
dsgdb9nsd_069912,16,18,14,17,7,7,11,94%,39%
dsgdb9nsd_045621,17,18,15,18,9,6,9,100%,50%
dsgdb9nsd_005636,17,17,11,17,5,6,12,100%,29%
dsgdb9nsd_085601,15,15,13,15,6,7,9,100%,40%
dsgdb9nsd_116665,17,16,14,16,11,3,5,100%,69%
dsgdb9nsd_048509,16,19,16,19,9,7,10,100%,47%
dsgdb9nsd_131878,16,16,12,16,8,4,8,100%,50%
dsgdb9nsd_004634,9,9,8,8,6,2,3,89%,67%
dsgdb9nsd_123814,16,17,10,17,5,5,12,100%,29%
dsgdb9nsd_046537,20,21,12,21,6,6,15,100%,29%
dsgdb9nsd_048239,12,11,12,11,8,4,3,100%,73%
dsgdb9nsd_096803,15,15,10,15,5,5,10,100%,33%
dsgdb9nsd_121753,21,20,12,20,7,5,13,100%,35%
dsgdb9nsd_042117,20,20,14,20,7,7,13,100%,35%
dsgdb9nsd_127428,18,18,10,18,5,5,13,100%,28%
dsgdb9nsd_055792,20,21,11,21,5,6,16,100%,24%
dsgdb9nsd_040667,23,25,12,24,5,7,20,96%,20%
dsgdb9nsd_048580,16,17,13,17,7,6,10,100%,41%
dsgdb9nsd_121048,19,19,12,18,6,6,13,95%,32%
dsgdb9nsd_056030,22,22,14,22,6,8,16,100%,27%
dsgdb9nsd_048271,17,17,10,17,5,5,12,100%,29%
dsgdb9nsd_072416,20,21,13,21,5,8,16,100%,24%
dsgdb9nsd_015422,20,20,15,19,8,7,12,95%,40%
dsgdb9nsd_072235,19,21,15,21,6,9,15,100%,29%
dsgdb9nsd_109344,19,20,13,19,9,4,11,95%,45%
dsgdb9nsd_104977,25,25,16,25,7,9,18,100%,28%
dsgdb9nsd_131869,17,17,12,17,6,6,11,100%,35%
dsgdb9nsd_094816,20,21,17,21,8,9,13,100%,38%
dsgdb9nsd_069549,20,22,13,22,7,6,15,100%,32%
dsgdb9nsd_105698,21,21,12,21,4,8,17,100%,19%
dsgdb9nsd_064957,18,19,11,19,6,5,13,100%,32%
dsgdb9nsd_075840,18,19,11,19,8,3,11,100%,42%
dsgdb9nsd_061473,19,18,11,18,5,6,13,100%,28%
dsgdb9nsd_025099,12,12,11,12,9,2,3,100%,75%
dsgdb9nsd_018226,17,18,14,18,7,7,11,100%,39%
dsgdb9nsd_018349,18,19,12,19,4,8,15,100%,21%
dsgdb9nsd_089854,21,22,14,22,6,8,16,100%,27%
dsgdb9nsd_091392,19,20,12,20,5,7,15,100%,25%
dsgdb9nsd_045371,19,20,13,20,4,9,16,100%,20%
dsgdb9nsd_040013,20,22,14,22,7,7,15,100%,32%
dsgdb9nsd_130368,14,14,11,14,8,3,6,100%,57%
dsgdb9nsd_018455,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_096968,16,17,11,17,6,5,11,100%,35%
dsgdb9nsd_114053,22,23,13,22,7,6,16,96%,30%
dsgdb9nsd_066353,20,20,12,20,7,5,13,100%,35%
dsgdb9nsd_054399,16,17,13,17,5,8,12,100%,29%
dsgdb9nsd_024471,14,15,13,15,9,4,6,100%,60%
dsgdb9nsd_080341,17,18,11,18,4,7,14,100%,22%
dsgdb9nsd_064604,16,16,13,16,10,3,6,100%,62%
dsgdb9nsd_084146,20,20,14,20,9,5,11,100%,45%
dsgdb9nsd_026105,18,18,12,18,8,4,10,100%,44%
dsgdb9nsd_059554,22,23,15,23,9,6,14,100%,39%
dsgdb9nsd_103742,23,23,14,23,8,6,15,100%,35%
dsgdb9nsd_123563,16,18,9,18,2,7,16,100%,11%
dsgdb9nsd_024244,15,17,12,17,6,6,11,100%,35%
dsgdb9nsd_089479,23,24,15,24,5,10,19,100%,21%
dsgdb9nsd_045345,16,17,12,17,7,5,10,100%,41%
dsgdb9nsd_043313,16,17,14,17,7,7,10,100%,41%
dsgdb9nsd_053996,15,14,13,14,5,8,9,100%,36%
dsgdb9nsd_116571,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_027480,16,16,13,16,10,3,6,100%,62%
dsgdb9nsd_045480,16,18,13,18,4,9,14,100%,22%
dsgdb9nsd_128387,14,14,11,14,8,3,6,100%,57%
dsgdb9nsd_124627,19,19,10,19,4,6,15,100%,21%
dsgdb9nsd_019804,15,17,12,17,5,7,12,100%,29%
dsgdb9nsd_075461,19,19,12,19,6,6,13,100%,32%
dsgdb9nsd_093302,18,19,13,19,8,5,11,100%,42%
dsgdb9nsd_120485,23,23,16,23,7,9,16,100%,30%
dsgdb9nsd_059655,25,25,15,25,7,8,18,100%,28%
